"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",2,233548521,116774260,99.0094960310125
"hipEventSynchronize",1,986877,986877,0.41837213952897406
"hipLaunchKernel",1,739145,739145,0.3133497640254495
"hipMalloc",1,484498,484498,0.20539587492413836
"hipFree",1,83253,83253,0.03529389754975106
"hipEventRecord",2,27519,13759,0.011666279493490918
"hipEventCreate",2,5239,2619,0.0022209977930302306
"__hipPushCallConfiguration",1,3842,3842,0.0016287599772517936
"hipEventElapsedTime",1,3842,3842,0.0016287599772517936
"__hipPopCallConfiguration",1,2235,2235,0.0009474957181566264
